Name,Weight,Cost,Notes,Vendor,
"Sage, Read Magical Texts",,500d,,Arcane Lore,
"Sage, Desc. Of Poisons",,500d,,Arcane Lore,
"Sage, Heretical Theological Spec.",,500d,,Arcane Lore,
"Shield, Buckler",3,24d,,Armourer,
"Shield, Round",6,42d,,Armourer,
"Shield, Kite",9,72d,,Armourer,
"Shield, Heater",5,60d,,Armourer,
"Shield, Scutem",12,96d,,Armourer,
Bone (for carving),1,1f,,Bonecarver,
"Buttons, 4 matching",-,3f,,Bonecarver,
"Clappers, bone",1.25,1d,,Bonecarver,
"Comb, hair",0.1,2d,,Bonecarver,
"Dice, per 6",0.25,5d,,Bonecarver,
"Horn, bone, hunting",1,9d,,Bonecarver,
"Horn, drinking",12,24d,,Bonecarver,
"Needles, sewing",,9d,,Bonecarver,
"Pipe, smoking",0.25,3d,,Bonecarver,
"Arrowheads, per dozen",0.3,7d,,Bowyer,
"Bowstring, Bow",0.05,2d,,Bowyer,
"Bowstring, Crossbow (light/hunting)",0.1,3d,,Bowyer,
"Cable, Crossbow (arbalest/heavy)",0.2,10d,,Bowyer,
Feathers,1,7d,,Bowyer,
,,,,Bowyer,
"Arrows, per dozen",2.4,15d,,Bowyer,
"Quarrels, per dozen",1.2,20d,,Bowyer,
,,,,Bowyer,
Arbalest(Khuzdul only),12,240d,,Bowyer,
Light Crossbow,3,120d,,Bowyer,
Hunting Crossbow,5,150d,,Bowyer,
Heavy Crossbow(Khuzdul only),7,210d,,Bowyer,
Hartbow (Sindârin only),1.5,96d,,Bowyer,
Longbow,2,36d,,Bowyer,
Shortbow (Self bow),1.5,12d,,Bowyer,
,,,,Bowyer,
"Spanning Device, Belt and Claw",1,10d,,Bowyer,
"Spanning Device, Goat’s Foot Lever",2,25d,,Bowyer,
"Spanning Device, Cranequin (K only)",3,120d,,Bowyer,
"Spanning Device, Windlass (K only)",4,60d,,Bowyer,
"Brush, Hair",0.25,3d,,Chandler,
"Candle, Calibrated (8 hrs)",0.5,10d,,Chandler,
"Candles, Beeswax (12 hrs / lb)",1,24d,,Chandler,
"Candles, Tallow (8 hrs / lb)",1,8d,,Chandler,
Comb,0.1,2d,,Chandler,
"Flask of Oil, glass (1 pt cap.)",1.5,13.25d,,Chandler,
"Flask of Oil, metal (1 pt cap.)",1.2,7.25d,,Chandler,
Grease,1,2d,,Chandler,
"Lamp. glass (⅛ pt., 4 hrs)",2,24d,,Chandler,
"Lantern, metal (⅛ pt., 4 hrs)",1,12d,,Chandler,
Lard,1,1d,,Chandler,
"Oil, Cooking, gallon",10,3d,,Chandler,
"Oil, Lamp, gallon (256 hrs)",12,12d,,Chandler,
"Oil, pint (32 hrs)",1,1.25d,,Chandler,
"Paint, per gallon",8,20d,,Chandler,
Tar,12,9d,,Chandler,
Tinderbox,2,6d,,Chandler,
Torch,1,1d,,Chandler,
"Wax, sealing",1,4d,,Chandler,
"Charcoal, per bushel",20,2d,,Charcoaler,
"Coal, per bushel",40,6d,,Charcoaler,
"Firewood, per hundredweight",100,2d,,Charcoaler,
"Tinder, per bundle",4,2f,,Charcoaler,
"Laundry, per 14lbs (stone)",-,2f,,Clothier,
,,,,Clothier,
"Bedroll, Heavy (freezing)",10,105d,,Clothier,
"Bedroll, Light (cool)",4,30d,,Clothier,
"Belt pouch, buckram (5 lb. cap.)",0.5,5d,,Clothier,
"Belt pouch, silk (5 lb. cap.)",0.5,35d,,Clothier,
"Blanket, heavy",8,20d,,Clothier,
"Blanket, light",3,10d,,Clothier,
"Carpet, wool",12,40d,,Clothier,
"Cloak, wool",3.5,100d,,Clothier,
"Mattress, straw, empty",1.5,12d,,Clothier,
Needle & 5 ft. thread,0,3d,,Clothier,
"Purse, buckram (1 lb. cap)",0.75,9d,,Clothier,
"Purse, silk (1 lb. cap)",0.75,60d,,Clothier,
"Sack, lg, buckram (75 lb. cap.)",3,4d,,Clothier,
"Sack, lg, linen (60 lb. cap.)",3,2d,,Clothier,
"Sack, med, buckram (50 lb. cap.)",2,2d,,Clothier,
"Sack, med, linen (40 lb. cap.)",2,1d,,Clothier,
"Sack, sm, buckram (25 lb. cap.)",1,1d,,Clothier,
"Sack, sm, linen (20 lb. cap.)",1,2f,,Clothier,
"Sheet, linen",2.5,20d,,Clothier,
"Tape, measure, cloth (6’)",0.1,3d,,Clothier,
Tarpaulin (water-resist blanket),3,15d,,Clothier,
Textile craft Kit,2,24d,,Clothier,
"Thread, flax, per yard",0.1,1d,,Clothier,
"Towel, cotton",5,48d,,Clothier,
,,,,Clothier,
Waterproofing,,,150% of base price,Clothier,
,,,,Clothier,
"Cloth, buckram, per bolt (48 sq yd)",72,480d,,Clothier,
"Cloth, russet, per bolt (48 sq yd)",36,576d,,Clothier,
"Cloth, serge, per bolt (48 sq yd)",36,288d,,Clothier,
"Cloth, silk, per bolt (48 sq yd)",24,1344d,,Clothier,
"Lace, per sq yard",,50d,,Clothier,
"Linen, Emelrene, per bolt (48 sq yd)",18,1152d,,Clothier,
"Linen, Hârnic, per bolt (48 sq yd)",18,192d,,Clothier,
"Wool, Worsted, perbolt (36 sq yd)",36,864d,,Clothier,
Courtesan,,12d,per eve,Prostitute,
"Courtesan, Great/Famous",,100d,per eve,Prostitute,
Prostitute,,1d,per eve,Prostitute,
"Dye, (Black), per oz",,36d,,Dyer,
"Dye, Dragon’s Blood, per oz",,170d,,Dyer,
"Dye, (Forest Green), per oz",,24d,,Dyer,
"Dye, Indigo Blue, per oz",,54d,,Dyer,
"Dye, Nut Brown, per oz",,18d,,Dyer,
"Dye, Saffron Yellow, per oz",,160d,,Dyer,
"Dye, Tazach Purple, per oz",,200d,,Dyer,
"Dye, Ochre Yellow, per oz",,30d,,Dyer,
"Burial, Unmarked Grave",-,3d,,Embalmer,
"Burial, Pyre",-,75d,,Embalmer,
Embalming,-,200d,,Embalmer,
Alchemical Equipment for Lab,,240d,,Glassworker,
"Beads, glass",0.1,10d,,Glassworker,
"Bottle, glass, sm (1 qt cap.)",2,6d,,Glassworker,
"Bottle, glass, med (2 qt cap.)",3,10d,,Glassworker,
"Bottle, glass, lg (1 gal cap.)",4,25d,,Glassworker,
"Goblet, glass",0.5,48d,,Glassworker,
"Flask, glass (1 pt cap.)",1,6d,,Glassworker,
"Inkwell, glass",1,30d,,Glassworker,
"Jar, lg, glass (2 qt cap.)",2,18d,,Glassworker,
"Jar, sm, glass (1 qt cap.)",1,9d,,Glassworker,
"Marbles, glass, per dozen",1,10d,,Glassworker,
"Vial, glass, sm (1 oz cap.)",0.5,4d,,Glassworker,
"Vial, glass, med (4 oz cap.)",0.75,4d,,Glassworker,
"Vial, glass, lg (8 oz cap.)",1.25,4d,,Glassworker,
"Window, stained glass, per sq ft",2,12d,,Glassworker,
"Window, clear glass, per sq ft",1,2d,,Glassworker,
Bagpipes,8,120d,,Harper,
"Bell, tiny",0.25,3d,,Harper,
"Clappers, bone",1.25,1d,,Harper,
Chime,1,20d,,Harper,
"Drum, bass",8,50d,,Harper,
"Drum, hand",4,36d,,Harper,
Dulcimer,15,240d,,Harper,
"Flute, iron",1,18d,,Harper,
"Flute, wooden",0.5,3d,,Harper,
"Harp, Aeolian (small)",6,42d,,Harper,
"Harp, Jarind (great)",25,300d,,Harper,
"Horn, fanfare",4,120d,,Harper,
"Horn, musical",1,72d,,Harper,
Lute,3,200d,,Harper,
Lyre,3,120d,,Harper,
Ocarina Flute,0.75,18d,,Harper,
Pipes,2,60d,,Harper,
,,,,Harper,
Composition,,12d,,Harper,
"Performance, Lyrical, per evening",-,3d,,Harper,
"Performance, Musical, per evening",-,9d,,Harper,
Admission into College (test),,320d,,Herald,
Grant of Arms,,5000d,,Herald,
"Registry, Bastard",,120d,,Herald,
Schooling/Education,,72d,per mo,Herald,
"Hide, Beaver",1.5,30d,,Hideworker,
"Hide, Calf",9.5,16d,,Hideworker,
"Hide, Cow",22,32d,,Hideworker,
"Hide, Deer",1.5,6d,,Hideworker,
"Hide, Elk",5,20d,,Hideworker,
"Hide, Ermine/Sable",0.1,45d,,Hideworker,
"Hide, Exotic",,120d,,Hideworker,
"Hide, Horse",10,10d,,Hideworker,
"Hide, Kip (large calf)",5,20d,,Hideworker,
"Hide, Lambskin",0.75,2d,,Hideworker,
"Hide, Otter/Weasel",1.5,24d,,Hideworker,
"Hide, Ox",7.5,12d,,Hideworker,
"Hide, Pig",1.75,5d,,Hideworker,
"Hide, Rabbit",0.5,1d,,Hideworker,
"Hide, Reindeer",4.5,16d,,Hideworker,
"Hide, Sheep",1.5,4d,,Hideworker,
"Hide, Seal",6,24d,,Hideworker,
,,,,Hideworker,
"Back bag, lg, leather (40 lb. cap.)",2.5,15d,,Hideworker,
"Back bag, med, leather (30 lb. cap.)",2,12d,,Hideworker,
Backpack (15 lb. cap.),2,30d,,Hideworker,
"Baldric, Shoulder",1.75,10d,,Hideworker,
"Ball, leather",1,4d,,Hideworker,
"Belt, Waist",1,8d,,Hideworker,
"Belt pouch, leather, lg (5 lb cap.)",1,6d,,Hideworker,
"Belt pouch, leather, med (3 lb cap.)",0.5,4d,,Hideworker,
"Belt pouch, leather, sm (1.5 lb cap.)",0.25,2d,,Hideworker,
Bow case,4.75,18d,,Hideworker,
Bridle,2,12d,,Hideworker,
"Bucket, leather",4,20d,,Hideworker,
Collar,0.75,3d,,Hideworker,
"Gauntlet, falconer’s",1.5,20d,,Hideworker,
"Harness, Horse",8,18d,,Hideworker,
"Harness, Ox",7,18d,,Hideworker,
"Hideworking Kit, portable",2,24d,,Hideworker,
"Horn, Hunting",1,20d,,Hideworker,
Leash,0.5,2d,,Hideworker,
"Leather, Tanned, per sq yard",,12d,,Hideworker,
Muzzle,1.5,6d,,Hideworker,
"Paper case, leather (30 sheets)",0.9,180d,,Hideworker,
"Quiver, lg (shldr) (24 arrow cap.)",4,10d,,Hideworker,
"Quiver, sm (any) (12 arrow cap.)",3,8d,,Hideworker,
"Saddle, Riding",10,80d,,Hideworker,
"Saddle, War",20,240d,,Hideworker,
Scabbard,,48d,10% wpn,Hideworker,
Sling,0.1,6d,,Hideworker,
"Water skin, lg -1 man-day (2 qt cap.)",1,36d,5lbs full,Hideworker,
"Water skin, sm (1 qt cap.)",0.5,12d,2.5lbs full,Hideworker,
Whip,,12d,,Hideworker,
Bath,-,1d,,Innkeeper,
,,,,Innkeeper,
"Drink, Ale, Hogshead",440,72d,,Innkeeper,
"Drink, Ale, Keg",88,28d,,Innkeeper,
"Drink, Ale, Pint",1,1f,,Innkeeper,
"Drink, Beer, Hogshead",440,75d,,Innkeeper,
"Drink, Beer, Keg",88,29d,,Innkeeper,
"Drink, Beer, Pint",1,1f,,Innkeeper,
"Drink, Brandy, Keg",88,720d,,Innkeeper,
"Drink, Brandy, Cup",-,4d,,Innkeeper,
"Drink, Cider, Keg",88,31d,,Innkeeper,
"Drink, Cider, Pint",1,1f,,Innkeeper,
"Drink, Mead, Keg",88,55d,,Innkeeper,
"Drink, Mead, Pint",1,2f,,Innkeeper,
"Drink, Wine, Hogshead",440,400d,,Innkeeper,
"Drink, Wine, Keg",88,160d,,Innkeeper,
"Drink, Wine, Bottle",2,8d,,Innkeeper,
"Drink, Wine, Cup",-,3f,,Innkeeper,
"Drink, Wine, Good, Hogshead",440,1170d,,Innkeeper,
"Drink, Wine, Good, Keg",88,470d,,Innkeeper,
"Drink, Wine, Good, Bottle",2,14d,,Innkeeper,
"Drink, Wine, Good, Cup",-,3d,,Innkeeper,
,,,,Innkeeper,
"Bed, Dormitory(soiled straw bed)",,1f,per night,Innkeeper,
"Bed, Dormitory(fresh straw bed)",,1d,per night,Innkeeper,
"Bed, Semi-private",,4d,per night,Innkeeper,
"Room, single bed, private",,6d,per night,Innkeeper,
"Room, double bed, private",,12d,per night,Innkeeper,
,,,,Innkeeper,
"Rations, Standard(lasts 1 tenday)",,2d,3 per day,Innkeeper,
"Rations, Trail(lasts 3 tendays)",,3d,3 per day,Innkeeper,
,,,,Innkeeper,
Stabling(if offered),,1d,per day,Innkeeper,
"Stabling, with Feed(if offered)",,2d,per day,Innkeeper,
,,,,Innkeeper,
"Dessert, Apple Tart",,2f,,Innkeeper,
"Dessert, Bannocks & Honey",,3f,,Innkeeper,
"Dessert, Dumplings",,1f,,Innkeeper,
"Dessert, Elderflower Cheese Pie",,12d,,Innkeeper,
"Dessert, Gooseberry Pie",,4d,,Innkeeper,
"Dessert, Pears & Honey Wine",,6d,,Innkeeper,
"Dessert, Plum Duff & Custard",,1d,,Innkeeper,
"Dessert, Rose Petal Pudding",,2d,,Innkeeper,
,,,,Innkeeper,
"Meal, Cheap(bread & cheese)",,1f,,Innkeeper,
"Meal, Cold",,3f,,Innkeeper,
"Meal, Hot(stew & warm bread)",,1d,,Innkeeper,
"Meal, Lavish(with fresh meat)",,3d,,Innkeeper,
,,,,Innkeeper,
Baked Lamprey Eels,,3d,,Innkeeper,
Beef & Carrot Broth,,1d,,Innkeeper,
Black Swan in Brandy,,24d,,Innkeeper,
Cabbage Soup,,1f,,Innkeeper,
Capon & Black Sauce,,4d,,Innkeeper,
Chicken & Pigeon Pie,,4d,,Innkeeper,
Chicken & Turnip Broth,,3f,,Innkeeper,
Duck & Chawdron Sauce,,9d,,Innkeeper,
Goose & Fruit Sauce,,18d,,Innkeeper,
Kidney & Dumplings,,2d,,Innkeeper,
Liver & Giblet Stew,,1d,,Innkeeper,
Monkfish & Dates,,6d,,Innkeeper,
Mussel & Oyster Soup,,2d,,Innkeeper,
Mutton & Barley Broth,,2f,,Innkeeper,
Ox tongue & Herb Sauce,,6d,,Innkeeper,
Pea & Bean Soup,,1f,,Innkeeper,
Pork & Apple Sauce,,5d,,Innkeeper,
Salmon & Mustard Cream,,12d,,Innkeeper,
Franchise,,40L,,Innkeeper,
"File, jeweler’s",0.1,7d,,Jeweler,
"Hammer, jeweler’s",0.1,7d,,Jeweler,
"Pliers, jeweler’s",1.25,8d,,Jeweler,
"Scales, jeweler’s",3,72d,,Jeweler,
"Tweezers, jeweler’s",0.05,1.25d,,Jeweler,
,,,,Jeweler,
"Agate, cut, per carat",,10d,3d6 k,Jeweler,
"Amber, cut, per carat",,2d,3d6 k,Jeweler,
"Bloodstone, cut, per carat",,15d,2d6 k,Jeweler,
"Carnelian, cut, per carat",,25d,2d6 k,Jeweler,
"Jet, cut, per carat",,1d,4d6 k,Jeweler,
"Moonstone, cut, per carat",,30d,2d6 k,Jeweler,
"Onyx, cut, per carat",,20d,3d6 k,Jeweler,
"Opal, cut, per carat",,80d,3d6 k,Jeweler,
"Pearl, cut, per carat",,10d,3d6 k,Jeweler,
"Quartz, cut, per carat",,5d,3d6 k,Jeweler,
"Spinel, cut, per carat",,40d,2d6 k,Jeweler,
"Chrysolite, cut, per carat2",,500d,1d6 k,Jeweler,
"Diamond, cut, per carat2",,800d,1d6 k,Jeweler,
"Emerald, cut, per carat2",,700d,1d6 k,Jeweler,
"Garnet, cut, per carat2",,400d,1d6 k,Jeweler,
"Jankorez, cut, per carat2",,1200d,1d6 k,Jeweler,
"Ruby, cut, per carat2",,1000d,1d6 k,Jeweler,
"Sapphire, cut, per carat2",,900d,1d6 k,Jeweler,
"Topaz, cut, per carat2",,600d,1d6 k,Jeweler,
"Material: Amber, per oz.",,50d,,Jeweler,
"Material: Bone/Horn, per oz.",,1d,,Jeweler,
"Material: Brass, per oz.",,1d,,Jeweler,
"Material: Copper/Bronze, per oz.",,1d,,Jeweler,
"Material: Glass, per oz.",,6d,,Jeweler,
"Material: Gold, per oz.",,1200d,,Jeweler,
"Material: Ivory, per oz.",,16d,,Jeweler,
"Material: Jade, per oz.",,500d,,Jeweler,
"Material: Mithral, per oz.",,7500d,,Jeweler,
"Material: Pewter, per oz.",,1d,,Jeweler,
"Material: Silver, per oz.",,60d,,Jeweler,
"Material: Adornment, inlay/cameo",,,100-500% of base,Jeweler,
"Material: Adornment, engraved/carved",,,100-300% of base,Jeweler,
Anklet,,,Material times 1d6+4 dr.,Jeweler,
Bracelet,,,Material times 1d6+2 oz.,Jeweler,
Broach,,,Material times 2d6+2 dr.,Jeweler,
Circlet,,,Material times 1d6+2 oz.,Jeweler,
Comb,,,Material times 2d6+4 dr.,Jeweler,
Crown,,,Material times 5d6+2 oz.,Jeweler,
Earrings,,,Material times 1d4+1 dr.,Jeweler,
Necklace,,,Material times 2d6+2 oz.,Jeweler,
Pendant,,,Material times 3d6+2 dr.,Jeweler,
Orb/etc.,,,Material times 4d6+2 oz.,Jeweler,
Ring,,,Material times 1d6+4 dr.,Jeweler,
Statuette,,,Material times 5d6+2 oz.,Jeweler,
Tiara,,,Material times 2d6+2 oz.,Jeweler,
Wand,,,Material times 8d6+2 oz.,Jeweler,
"Land, urban, slum, per sq ft",,3f,,Landowner,
"Land, urban, poor, per sq ft",,6f,,Landowner,
"Land, urban, mid, per sq ft",,3d,,Landowner,
"Land, urban, good, per sq ft",,5d,,Landowner,
"Land, urban, best, per sq ft",,7d,,Landowner,
"Land, suburban",,,50% of base value,Landowner,
,,,,Landowner,
"Rent, per month",,,2% property value,Landowner,
,,,,Landowner,
"Toll, camel or ox",,2f,,Landowner,
"Toll, cart",,1f,,Landowner,
"Toll, goat or sheep",,1f,,Landowner,
"Toll, horse",,1d,,Landowner,
"Toll, person (afoot)",,1f,,Landowner,
"Toll, wagon",,1d,,Landowner,
"Book, Base (No Pages)",1,10d,,Lexigrapher,
Chalk Sticks,1,10d,,Lexigrapher,
"Ink, Black, per pint",2,9d,,Lexigrapher,
"Ink, Blue, per pint",2,10d,,Lexigrapher,
"Ink, Brown, per pint",2,8d,,Lexigrapher,
"Ink, Green, per pint",2,8d,,Lexigrapher,
"Ink, Red, per pint",2,12d,,Lexigrapher,
Map,0.1,12d,,Lexigrapher,
"Parchment, per page",0.1,2d,,Lexigrapher,
"Pen, metal",0.1,4d,,Lexigrapher,
"Pen, quill",0.05,1d,,Lexigrapher,
"Pen, wood",0.1,1d,,Lexigrapher,
"Seal, Signature",0.25,36d,,Lexigrapher,
"Vellum, per page",0.2,1d,,Lexigrapher,
Wax Tablet,,6d,,Lexigrapher,
"Writing Kit, portable (0.6 lb cap.)",2.4,36d,,Lexigrapher,
Contract,,12d,,Litigant,
Court Appearance,,12d,per day,Litigant,
Deed,,18d,,Litigant,
Sale of Property,,,10% of value,Litigant,
Will,,24d,,Litigant,
Bacon,1,1.25d,,Market,
Beef,1,1d,,Market,
Chicken,1,1.25d,,Market,
Duck,1,2d,,Market,
Goat,1,1.5d,,Market,
Goose,1,2d,,Market,
Ham,1,1d,,Market,
Horsemeat,1,3d,,Market,
Lamb,1,3d,,Market,
Mutton,1,2d,,Market,
Pheasant,1,1d,,Market,
Pigeon,1,1.75d,,Market,
Pork,1,1.5d,,Market,
Rabbit,1,2.5d,,Market,
Swan,1,3d,,Market,
Veal,1,2d,,Market,
Venison,1,2d,,Market,
"Meat, Jerked",,,150% of basic price,Market,
"Meat, Smoked",,,125% of basic price,Market,
"Barley, per bushel",48,5d,,Market,
"Flax, per bushel",60,,,Market,
"Hay, per bushel",60,6d,,Market,
"Oats, bushel",32,4d,,Market,
"Rye, per bushel",56,6d,,Market,
Straw (2.5 lbs / ft3),,,,Market,
"Wheat, per bushel",60,8d,,Market,
,,,,Market,
Butter,1,2f,,Market,
Cheese,1,1d,,Market,
"Cream, gallon",8,6d,,Market,
Curds,1,2f,,Market,
"Eggs, score",1.25,1d,,Market,
"Milk, cow, gallon",8,3d,,Market,
"Milk, goat, gallon",8,1d,,Market,
"Milk, sheep, gallon",8,2d,,Market,
,,,,Market,
Feathers,1,6d,,Market,
Fleece,3,12d,,Market,
"Wool, Raw",1,4d,,Market,
"Apples, per bushel",51.25,7.5d,,Market,
Apples,1,1f,,Market,
"Beans, per bushel",41.25,6.5d,,Market,
Berries,1,3f,,Market,
Cabbage,1,2f,,Market,
Carrots,1,2f,,Market,
Cherries,1,2f,,Market,
Grapes,1,1d,,Market,
"Honey, pint",2,2d,,Market,
"Honey, gallon",12,12d,,Market,
Lentils,1,2f,,Market,
Olives,1,8d,,Market,
Pears,1,2f,,Market,
"Peas, per bushel",41.25,6.5d,,Market,
Plums,1,3f,,Market,
Raisins,1,1.5d,,Market,
Scallions,1,1f,,Market,
Tomatoes,1,2f,,Market,
Vetches,1,4d,,Market,
"Fruit, Dried",,,150% of basic price,Market,
Anchovies,1,1f,,Fisherman,
Cod,1,1d,,Fisherman,
Crab,1,1d,,Fisherman,
Eels,1,3f,,Fisherman,
Herring,1,2f,,Fisherman,
Mackerel,1,1f,,Fisherman,
Pike,1,1d,,Fisherman,
Oysters,1,2f,,Fisherman,
Salmon,1,2d,,Fisherman,
"Seaweed, Dolce",1,6d,,Fisherman,
Trout,1,1d,,Fisherman,
,,,,Fisherman,
"Fish, Salted",,,200% of basic price,Fisherman,
"Fish, Smoked",,,150% of basic price,Fisherman,
,,,,Fisherman,
"Fishing Kit, portable",0.2,6d,,Fisherman,
"Calf, live (35-50 lbs. meat)",,*60d,,Herder,
"Chicken, live (3-4 lbs. meat)",,*1.5d,,Herder,
"Cow, live (300-540 lbs. meat)",,*115d,,Herder,
"Duck, live (4-6 lbs. meat)",,*1.75d,,Herder,
"Goat, live (25-40 lbs. meat)",,*10d,,Herder,
"Goose, live (8-10 lbs. meat)",,*2.5d,,Herder,
"Lamb, live (10-15 lbs. meat)",,23.5d,,Herder,
"Ox, live (720-1800 lbs. meat)",,*96d,,Herder,
"Pigeon, live (2-3 lbs. meat)",,*2f,,Herder,
"Pig, live (30-50 lbs. meat)",,*24d,,Herder,
"Sheep, live (20-30 lbs. meat)",,22d,,Herder,
"Swan, live (8-12 lbs. meat)",,*12d,,Herder,
"Bread, Barley, Loaf",1.5,1f,,Miller,
"Bread, Rye, Loaf",1.5,1f,,Miller,
"Bread, Wheat, Loaf",1.5,2f,,Miller,
"Buns, Dozen",3,2f,,Miller,
"Flour, Barley",1,1f,,Miller,
"Flour, Rye",1,1f,,Miller,
"Flour, Wheat",1,2f,,Miller,
"Oatcakes, Dozen",4,1f,,Miller,
Oatmeal,1,1f,,Miller,
"Oats, per bushel",25.5,5.75d,,Miller,
"Pie, Fruit",0.5,3f,,Miller,
"Pie, Meat",0.5,1d,,Miller,
"Scones, Dozen",1,2f,,Miller,
,,,,Miller,
Milling License,,240d,per yr,Miller,
Milling,,,10% of ingredients,Miller,
"Salt, per bushel",51,10d,,Salter,
"Salt, per pound",1,1f,,Salter,
"Salt, rock, per pound",1,2f,,Salter,
"Chalk, bulk",1,1d,,Mason,
"Chalk, powdered",1,4d,,Mason,
Grindstone,17,12d,,Mason,
"Limestone, powdered",1,3d,,Mason,
Millstone,50,250d,,Mason,
"Stone, 8 cubic feet",400,2f,,Mason,
"Stone, Fine, 8 cubic feet",400,1d,,Mason,
"Stone, Marble, 8 cubic feet",400,3d,,Mason,
"Talc, Rough",,1d,,Mason,
,,,,Mason,
"Castle, Large",,10000L,,Mason,
"Castle, Small",,1000L,,Mason,
"House, Middle Class/Average",,12L,,Mason,
"House, Middle Class/Poor",,6L,,Mason,
"House, Middle Class/Wealthy",,20L,,Mason,
"House, Slum/Hovel",,3L,,Mason,
"House, Upper Class with Garden",,40L,,Mason,
"House, Upper Class/Wealthy",,28L,,Mason,
"Keep, Large",,2000L,,Mason,
"Keep, Small",,200L,,Mason,
"Manor house, Large Stone",,60L,,Mason,
"Manor house, Small Stone",,4L,,Mason,
